id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
0,0.032217,tcp,http,FIN,7,12,1640,1258,1395.529493,31,29,570074.698488475,889420.329485,2,3,86.365778,84.781241,295.782758,23.999775,255,3870716490,1633281419,255,0.000962,0.0,0.000296,118,199,1,106,2,Washington,5,2,2,3,0,0,4,4,4,0,Normal,0
1,7.507247,tcp,-,REQ,6,0,162,316,994937.371599,254,0,359188355.8871007,0.0,2,0,3525.046175,6.726313,305.095973,5.946345,255,0,4277978,0,0.000268,0.0,0.0,44,0,0,0,35,Utah,11,2,1,32,0,0,0,6,4,0,Normal,0
2,0.070896,tcp,ftp,FIN,48,68,2954,5190,9149.139616,31,29,1617928.032024358,1042203.508393,9,22,6.851544,6.449875,267.219184,24.661312,255,1861860737,966785101,255,0.001775,0.001117,0.0,55,69,0,0,2,Hawaii,6,1,1,4,1,1,0,5,2,0,Normal,0
3,38.347885,sprite-rpc,-,INT,36,1,701,203,0.0,254,0,854741.5846828409,0.0,0,0,147.243122,7.681856,961.043759,539.81152,0,0,0,0,0.000162,0.000952,0.000598,91,1,0,0,2,Montana,6,2,4,4,0,0,0,4,2,0,Exploits,1
4,0.974262,tcp,http,FIN,19,9,1361,1869,61.653004,62,252,0.0,8877.373897,5,6,891.711009,2785.882227,1129.768096,1292.101549,255,526168747,1681346506,255,0.075186,0.022052,0.056086,77,161,1,143,4,Nevada,2,2,2,7,0,0,6,2,3,0,Normal,0
5,0.30865,tcp,http,FIN,11,9,1789,792,159.959643,254,252,133039.76454560386,12094.127705,1,2,52.831809,76.76148,3053.310705,114.255863,255,2732613593,1774213602,255,0.197682,0.045343,0.064368,86,54,1,89,5,Texas,1,1,1,5,0,0,1,1,4,0,Normal,0
6,0.382061,tcp,-,FIN,5,6,347,401,0.0,254,252,0.0,16576.558675,1,1,40.186838,59.424301,2940.404833,190.997989,255,4009902860,286754057,255,0.090271,0.041065,0.017555,56,46,0,0,6,Vermont,1,1,1,1,0,0,0,2,7,0,Fuzzers,1
7,0.397993,tcp,-,FIN,7,8,1125,0,646.746906,254,252,0.0,0.0,3,1,248.615446,12.360503,6457.549522,156.580628,255,3338463937,108713074,255,0.166084,0.168275,0.071277,57,45,0,0,1,Colorado,1,1,1,4,0,0,0,1,1,0,Normal,0
8,0.849004,tcp,-,FIN,30,10,3780,620,0.0,254,252,297703.6121724741,0.0,1,2,30.232347,94.683049,1159.151624,101.746123,255,3997824949,3566727127,255,0.129916,0.059229,0.058641,678,51,0,0,1,Oregon,1,1,1,1,0,0,0,1,1,0,DoS,1
9,2.403764,tcp,http,FIN,20,46,1326,31216,0.0,62,252,0.0,211314.38912,2,17,149.451772,3.287147,6447.315619,876.763406,255,652527410,3931706938,255,0.20299,0.063034,0.07665,93,285,0,10,1,Washington,1,1,1,1,0,0,1,1,1,0,Exploits,1
10,1.321723,tcp,http,FIN,6,5,501,988,359.305973,62,252,0.0,3081.022392,2,1,453.508698,103.730503,8161.124446,199.748518,255,232840284,3412151111,255,0.515637,0.123996,0.135352,81,120,1,133,2,Iowa,3,3,3,4,0,0,9,3,5,0,Normal,0
11,0.327364,tcp,http,FIN,11,3,1301,764,0.0,254,252,0.0,13479.803429,3,1,58.234789,45.703901,2154.000661,56.986662,255,3941991784,1803414629,255,0.0513,0.027763,0.027645,110,44,1,9,1,New Jersey,1,1,1,1,0,0,1,1,1,0,Worms,1
12,0.0,sctp,-,INT,2,1,440,0,1232.245881,254,0,118925373.4850217,0.0,0,0,30.397013,0.0,81.455448,20.238468,0,0,0,0,0.0,0.0,0.0,103,1,0,0,1,New York,1,1,1,1,0,0,0,1,1,0,Exploits,1
13,0.0,udp,dns,CON,1,14,24,602,7347.305331,32,29,616784.9723833578,489873.983196,2,0,0.0,0.0,50.066628,0.0,0,8127568,0,0,0.000309,0.0,0.000346,52,89,0,11,11,Alabama,10,12,1,1,0,0,0,9,3,0,Normal,0
14,0.028164,udp,dns,INT,2,0,440,0,334581.282273,254,0,424561771.39941424,1107.993872,0,0,0.0,3.549974,0.0,1.471159,0,0,0,0,0.0,0.0,0.000407,57,0,0,0,35,Missouri,25,12,12,32,0,0,0,25,35,0,Generic,1
15,0.002484,udp,dns,INT,1,0,195,414,504187.529533,254,0,392464941.58989114,871.05067,0,0,0.0,6.6815,192.637149,0.0,0,0,5331448,0,0.0,0.0,0.000529,49,0,0,0,24,Connecticut,25,1,1,28,0,0,0,7,29,0,Normal,0
16,0.004538,udp,dns,INT,3,1,24,347,102121.70587,254,0,42505375.74463196,0.0,1,0,15.043769,0.85319,139.285469,0.0,0,0,0,0,2.8e-05,0.0,0.0,56,0,0,0,3,Nevada,3,3,1,3,0,0,0,5,3,0,Generic,1
17,0.183848,tcp,http,FIN,4,6,454,973,0.0,62,252,232956.7766685304,5602.863585,1,1,49.00538,57.75925,3393.23917,4098.443229,255,3462142784,2932232265,255,0.121974,0.012675,0.086656,87,1133,1,0,2,New York,1,1,1,1,0,0,1,1,1,0,Exploits,1
18,0.009494,udp,dns,INT,4,0,2813,80,100288.462134,254,0,51391504.835104845,293.66543,0,0,4.1257,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.000277,206,0,0,59,6,New Jersey,3,4,4,14,0,0,0,18,16,0,Generic,1
19,0.034548,tcp,-,FIN,34,33,1007,1347,8205.110471,31,29,636025.1905013863,2537645.459389,10,15,17.308372,1.509044,293.491199,0.0,255,3701481037,2227067944,255,0.000891,0.000503,0.0,65,83,1,23,11,Mississippi,11,1,1,1,0,0,0,6,8,0,Normal,0
20,0.013964,udp,-,CON,1,0,24,477,1509.770828,31,29,1257964.4498589095,289152.767076,0,0,37.398953,7.647367,107.991955,0.0,0,0,235397,0,0.000745,0.000915,0.000123,158,79,0,0,3,New York,1,1,1,1,0,0,0,1,4,0,Normal,0
21,0.028492,udp,dns,INT,1,0,84,205,103821.364897,254,0,48258740.20735976,3580.006847,0,0,0.0,0.863462,0.0,3.022819,0,0,0,0,0.0,0.0,0.0,59,0,0,0,16,Arkansas,3,13,9,18,0,0,0,10,10,0,Generic,1
22,0.993825,tcp,http,FIN,9,6,1093,858,0.0,63,252,0.0,9948.892614,2,0,81.508262,95.208134,4512.614891,136.001381,255,1620105973,3515862146,255,0.173582,0.093194,0.083855,81,125,1,116,2,South Dakota,2,2,1,3,0,0,1,2,3,0,Normal,0
23,0.028914,udp,dns,INT,2,0,1364,925,488952.38729,254,0,422608814.9059179,0.0,1,0,5.19891,0.0,56.87303,8.711162,0,5281931,4145247,0,0.0,0.0,0.0,63,0,0,0,33,New Hampshire,10,10,9,28,0,0,0,14,19,0,Generic,1
24,0.910682,sctp,-,CON,2,3,1178,1269,226.315873,254,60,0.0,19018.253497,0,0,55.665353,9.29625,457.979124,14.6315,0,0,0,0,0.0,5.9e-05,0.0,286,178,0,0,1,West Virginia,2,1,1,2,0,0,0,1,1,0,Exploits,1
25,0.0,udp,-,CON,1,1,324,0,175.378034,254,0,388085019.2947491,5224.405956,0,0,29.443923,1.644665,0.0,1.960926,0,0,0,0,0.000392,0.0,0.0,51,0,0,0,3,Virginia,2,2,1,2,0,0,0,1,4,0,Normal,0
26,0.769716,tcp,-,FIN,6,5,449,0,0.0,254,252,641427.8070938941,0.0,1,0,66.053436,69.678452,3202.787306,8.951474,255,1283335360,3372304022,255,0.210508,0.111418,0.082775,54,44,0,0,16,Oklahoma,4,4,4,4,0,0,0,4,9,0,Normal,0
27,39.180998,tcp,-,FIN,26,28,1952,570,0.0,254,252,127043.94128547025,1923.002169,26,10,3824.015549,2247.747294,14693.366693,41629.963001,255,707686401,3722848325,255,0.150968,0.050483,0.060428,270,44,1,27,2,Utah,4,2,1,1,0,0,2,3,2,0,Fuzzers,1
28,0.008086,tcp,-,FIN,5,8,894,547,4914.386577,254,29,125054795.70548879,3465.084047,0,2,39.736525,36.682788,292.193125,100.234266,255,663892788,0,255,0.001326,0.001705,0.109018,81,87,0,46,6,Wisconsin,1,1,1,4,0,0,0,1,5,0,Normal,0
29,0.0,udp,dns,INT,1,0,24,0,111969.97819,254,0,42767920.82432851,1439.379651,0,0,0.0,3.512847,37.556276,0.0,0,0,1243138,0,0.0,5.4e-05,0.00074,58,0,0,36,6,Maryland,1,25,1,3,0,0,0,18,3,0,Generic,1
30,1.140711,tcp,http,FIN,15,12,1458,10410,204.569844,31,29,0.0,0.0,2,5,117.972703,48.2716,8289.647644,7222.985241,255,1931592066,625006911,255,0.002102,0.001614,0.000161,131,576,1,2765,3,Georgia,3,1,1,1,0,0,1,6,2,0,Normal,0
31,1.060153,tcp,-,FIN,5,10,1319,829,397.659018,62,252,154085.92772665044,3761.629821,2,4,49.987581,62.629201,2466.288327,143.458555,255,2662358218,2017320834,255,0.12966,0.058686,0.047575,259,43,0,0,7,Texas,3,4,1,8,0,0,0,2,10,0,Normal,0
32,4.183663,tcp,pop3,ACC,89,103,1621,47905,0.0,62,252,0.0,770109.115312,6,189,1.34026,6.286832,2234.766716,483.703672,255,2454758566,1521486670,255,0.17404,0.084955,0.065846,45,1383,0,11,1,Vermont,1,1,1,1,0,0,0,2,1,0,DoS,1
